Ethnicity ,Region,Value
Asian or Asian British ,North East ,60
"Black, African, Caribbean or Black British ",North East ,10
Mixed or Multiple Ethnic Groups,North East ,20
Other,North East ,10
Asian or Asian British ,North West,60
"Black, African, Caribbean or Black British ",North West,20
Mixed or Multiple Ethnic Groups,North West,15
Other,North West,5
Asian or Asian British ,East Midlands,58.5
"Black, African, Caribbean or Black British ",East Midlands,18
Mixed or Multiple Ethnic Groups,East Midlands,19
Other,East Midlands,4.5
Asian or Asian British ,West Midlands,67
"Black, African, Caribbean or Black British ",West Midlands,16
Mixed or Multiple Ethnic Groups,West Midlands,11
Other,West Midlands,6
Asian or Asian British ,South East,55
"Black, African, Caribbean or Black British ",South East,16.5
Mixed or Multiple Ethnic Groups,South East,22
Other,South East,6
Asian or Asian British ,South West,33
"Black, African, Caribbean or Black British ",South West,17
Mixed or Multiple Ethnic Groups,South West,33
Other,South West,17
